Price,Name
$202.50,"Dell OptiPlex 7060 SFF Computer, 8th Gen Core i5, 8GB DDR4, New 240GB SSD, DVD"
$124.95,"FAST Dell Optiplex Windows 10 Desktop Computer Tower C2D 4GB DVD WiFi 17"" LCD"
,Fast Cheap Dell OptiPlex i3 i5 i7 MT Desktop SFF 8GB 500 Windows 10  PC Computer
$169.95,"FAST Dell Windows 10 Desktop Computer Core 2 Duo 4GB Ram 250GB DVD WiFi 22"" LCD"
$139.95,"HP Desktop Computer PC 🚩 Core i5 16GB 2TB HD 256GB SSD 22"" LCD 🚩 Windows 10"
$209.00,CLEARANCE! Fast Dell Desktop Computer PC DUAL CORE WINDOWS 10 4/8/16GB RAM
,Gaming PC Quad Core i7 Computer SSD HDD 4-16 GB RAM GT GTX GFX Windows 10 WiFi
$89.99,CLEARANCE!!! Fast HP Desktop Computer PC Core 2 Duo WINDOWS 10 + LCD + KB + MS
,FAST DELL COMPUTER SET PC UP TO  8GB RAM 2TB HDD WIFI CHEAP WINDOWS 10 MONITOR
$99.95,Dell Optiplex 760 Windows 10 Professional Desktop Computer 4GB 160GB DVD 
$256.68,HP 6200 Pro Core i7 3.4GHz Quad Core 16GB 500GB Computer
, DELL i7 3770 3rd GEN COMPUTER PC✔ UPTO 32GB RAM SSD HDD UPTO 2TB
$159.99,Dell Optiplex Windows 10 Pro Desktop Computer PC i5 4th Gen 3.2GHz 8GB 512SSD
,DELL i5  2nd GEN COMPUTER PC 16GB RAM DUAL SCREEN  WIFI 1TB 1GB GRAPHIC HDMI
$225.00,HP XW9400 AMD Dual Core 2216 2.6GHz /8GB/250GB/ PC Computer / Desktop
$277.64,Lenovo C20-00...all in one desktop computer ...with Wireless Mouse.....
$279.99,AMD Dual Core 4GB RAM 500GB HDD WIFI Window 7 Pro 32bit Desktop PC Computer
,Beelink BT3 PRO smallest computer
,FAST DELL OPTIPLEX CUSTOMISE YOUR OWN DESKTOP PC COMPUTER WINDOWS
,FAST HP ELITE 8000 SFF 6GB RAM CHEAP WINDOWS 10 OFFICE DESKTOP COMPUTER PC WiFi
$409.99,Custom Built Windows 98 Retro Gaming Industrial PC Computer P2 B Montego II 5GB
"$1,400.00","CUSTOM BUILT AMD RYZEN THREADRIPPER GAMING COMPUTER  , 32 GB RAM,"
,DELL PENTIUM D DUO CORE COMPUTER WINDOWS XP PRO 500GB 4GB RAM SERIAL PARALLEL 
,FAST DELL QUAD CORE PC COMPUTER DESKTOP TOWER WINDOWS 10 WIFI 8GB RAM 1000GB HDD
$354.99,Custom Build Dell Optiplex 5040 MT  i7-6700 3.40GHz Desktop Computer PC
,Full Set PC Fast HP 8200 i3 Cheap Desktop Computer Monitor Office 2016 Pro Win10
$449.99,Custom Gaming PC Computer FX-6300 3.5GHz 8GB RAM 128GB SSD 1 TB HDD RX 580 4GB
,Fast Trading i5 i7 Quad 4 Monitor Tower Computer PC Dell/HP 16GB SSD 2TB Win10
$809.99,"Gaming PC Desktop Computer Intel i7 RGB, GTX 1660, 16GB RAM, 2TB HDD, 480GB SSD"
$509.99,AMD Quad Core Custom Built Gaming PC Computer Desktop 16GB 2TB Blue LED
$249.99,AMD Dual Core 3.9Ghz 4GB DDR3 500GB WiFi Windows 10 office Desktop PC Computer
$689.99,Dell T1700 Precision Workstation Computer | Quad Xeon 32GB 1TB SSD Win 10 Pro
$119.95,Fast Detel Desktop Computer PC Intel i5-2400 3.1GHz 4GB 320GB Wifi Windows 10
$100.00,STUDENT/WORK COMPUTER WORKSTATION WINDOWS 10 PRO
$63.00,"HP Computer 8300 Elite USDT, i3-3220@3.3GHz, 8GB RAM, NO HDD, Windows 7/10 COA"
,"CHEAP DELL PC COMPUTER SET 4GB 500GB 19"" TFT WITH WiFi WINDOWS 10 PRO C2D"
,Cheap HP 8200 SFF Desktop Computer Fast Intel Quad Core i5-2400 3.10GHz Barebone
$241.60,Dell 7010 Desktop Computer Intel Core i5 3.10 Windows 10 pro 64 500gb HD 4gb Ram
,"FAST DELL COMPUTER 2x 22"" HD LCD MONITOR CHEAP WIN 10 TRADING PC WiFi 8GB RAM"
$139.95,"HP Desktop Computer 400 G1 Core i3 3.4GHz 8GB 256GB SSD 19"" LCD Windows 10 PC"
$119.95,Fast Dell Optiplex Windows 10 Pro Desktop Computer Dual Core 6GB 160GB DVD WIFI
$144.95,"Dell Desktop Computer PC Core i5 8GB 500GB HD DVD Wifi 19"" LCD Windows 10 Pro"
$520.00,CAD Solidworks Video Photo Editing Workstation 64GB 8C Xeon Quadro Computer NVME
$149.95,Dell Desktop Computer Tower Quad Intel Core i5 8GB 1TB HD DVD Wifi Windows 10 PC
$349.95,Dell 9020 i5-4570 | 16GB | 2TB | SSD Windows 10 Pro Desktop Computer PC WiFi DVD
$74.99,HP Pro 3500 Microtower Desktop Computer 3.4GHz i3 4GB 500GB Windows 10 Pro
$209.00,"HP Elite 8100 Desktop Computer Package - Intel Core i5 3.2-GHz, 8GB RAM, 500GB H"
$509.95,"iBUYPOWER Gaming Computer AMD Ryzen 3 3100, Radeon RX 550, 240GB SSD, WiFi Ready"
$9.99,Desktop Computer AMD Sempron LE1250 No HDD No OS
,DELL COMPUTER DESKTOP PC DUO CORE OR CORE 2 DUO WINDOWS XP PROFESSIONAL
"$1,300.00",2 Gaming Computers
$149.95,"Dell Optiplex Desktop Computer with Dual 19"" LCD Monitors Windows 10 Pro"
,Gaming PC Desktop Computer By Alarco Intel i5 
,Ultra Fast Dell Gaming PC Quad Core i5 GTX 1050 Gaming Computer Monitor Full Set
$219.95,"HP Elite 8200 Desktop Computer Tower Intel i5 8GB 1TB 19""LCD Windows 10 Pro WiFi"
$169.95,"HP Windows 10 Pro Desktop Computer Intel QUAD CORE i5 Wifi, Keyboard & Mouse"
,FASt DELL QUAD CORE PC COMPUTER DESKTOP TOWER WINDOWS 10 WIFI DUAL SCREEN PC 
$89.99,Dell Optiplex SFF Desktop Computer Windows 10 4GB 160GB
$37.75,HP T520 Thin Client Computer AMD GX-212JC 1.2GHz 4GB RAM TESTED !!READ BELOW!!
$400.00,SAMA RGB Gaming PC Desktop Computer i5 3.7GHz Nvidia GTX 1060 16GB Windows 10
$237.00,6 Gigabit Lan Firewall Desktop Computer onboard CPU Intel core I3 I5 I7 Router
$113.96,HP Compaq 6200 Pro SFF Desktop Computer Pentium Windows 10 System 500GB 1TB 
